Date,Home Team,Rating,Win Probability,Away Team,Rating,Win Probability,Home Score,Away Score,Home Rating (New),Away Rating (New)
1998-10-03,wisconsin,1500,0.6400649998028851,notre-dame,1500,0.35993500019711494,1,2,1493.599350001971,1506.400649998029
1998-10-09,minnesota,1500,0.6400649998028851,st-lawrence,1500,0.35993500019711494,4,6,1493.599350001971,1506.400649998029
1998-10-09,ohio-state,1500,0.6400649998028851,boston-college,1500,0.35993500019711494,3,4,1493.599350001971,1506.400649998029
1998-10-09,michigan-tech,1500,0.6400649998028851,northern-michigan,1500,0.35993500019711494,2,8,1493.599350001971,1506.400649998029
1998-10-09,western-michigan,1500,0.6400649998028851,ferris-state,1500,0.35993500019711494,1,3,1493.599350001971,1506.400649998029
1998-10-09,notre-dame,1506.400649998029,0.6485089090399316,lake-superior,1500,0.3514910909600684,4,2,1509.9155609076297,1496.4850890903992
1998-10-09,miami,1500,0.6400649998028851,bowling-green,1500,0.35993500019711494,2,4,1493.599350001971,1506.400649998029
1998-10-10,minnesota,1493.599350001971,0.6400649998028851,ohio-state,1493.599350001971,0.35993500019711494,4,3,1497.1987000039421,1490.0
1998-10-10,alaska-anchorage,1500,0.6400649998028851,mankato-state,1500,0.35993500019711494,3,4,1493.599350001971,1506.400649998029
1998-10-10,st-lawrence,1506.400649998029,0.6400649998028851,boston-college,1506.400649998029,0.35993500019711494,2,3,1500.0,1512.8012999960579
1998-10-10,northern-michigan,1506.400649998029,0.6568609242951089,michigan-tech,1493.599350001971,0.3431390757048911,3,0,1509.8320407550777,1490.1679592449223
1998-10-10,notre-dame,1509.9155609076297,0.661406853377909,western-michigan,1493.599350001971,0.338593146622091,7,1,1513.3014923738506,1490.2134185357502
1998-10-10,miami,1493.599350001971,0.6229189039512544,bowling-green,1506.400649998029,0.3770810960487455,5,5,1492.3701609624586,1507.6298390375414
1998-10-11,alaska-anchorage,1493.599350001971,0.6229189039512544,mankato-state,1506.400649998029,0.3770810960487455,2,5,1487.3701609624586,1512.6298390375414
1998-10-11,michigan,1500,0.644713087943709,lake-superior,1496.4850890903992,0.355286912056291,2,0,1503.552869120563,1492.9322199698363
1998-10-16,nebraska-omaha,1500,0.6400649998028851,maine,1500,0.35993500019711494,2,7,1493.599350001971,1506.400649998029
1998-10-16,michigan,1503.552869120563,0.6447631367120651,niagara,1500,0.35523686328793486,6,5,1507.1052377534422,1496.4476313671207
1998-10-16,alaska,1500,0.6566384234025231,alaska-anchorage,1487.3701609624586,0.3433615765974768,5,4,1503.4336157659748,1483.9365451964838
1998-10-16,canisius,1500,0.6400649998028851,bentley,1500,0.35993500019711494,6,2,1503.599350001971,1496.400649998029
1998-10-16,bowling-green,1507.6298390375414,0.6501200988648623,northeastern,1500,0.3498799011351376,2,4,1501.1286380488928,1506.5012009886486
1998-10-16,wisconsin,1493.599350001971,0.6446029535713486,michigan-tech,1490.1679592449223,0.35539704642865155,1,2,1487.1533204662576,1496.6139887806357
1998-10-16,minnesota,1497.1987000039421,0.6363416309207109,minnesota-duluth,1500,0.363658369079289,2,2,1495.835283694735,1501.3634163092072
1998-10-16,northern-michigan,1509.8320407550777,0.6628822135216018,miami,1492.3701609624586,0.3371177864783982,3,2,1513.2032186198617,1488.9989830976747
1998-10-16,michigan-state,1500,0.6529388213918957,western-michigan,1490.2134185357502,0.34706117860810426,1,1,1498.470611786081,1491.7428067496692
1998-10-16,lake-superior,1492.9322199698363,0.6439443999283113,ohio-state,1490.0,0.3560556000716887,1,4,1486.492775970553,1496.4394439992832
1998-10-16,ferris-state,1506.400649998029,0.6308632228283378,notre-dame,1513.3014923738506,0.3691367771716621,3,5,1500.0920177697456,1519.610124602134
1998-10-17,vermont,1500,0.6400649998028851,new-hampshire,1500,0.35993500019711494,3,4,1493.599350001971,1506.400649998029
1998-10-17,nebraska-omaha,1493.599350001971,0.6229189039512544,maine,1506.400649998029,0.3770810960487455,0,3,1487.3701609624586,1512.6298390375414
1998-10-17,michigan,1507.1052377534422,0.6540741746005073,niagara,1496.4476313671207,0.3459258253994926,1,2,1500.5644960074371,1502.9883731131258
1998-10-17,alaska-anchorage,1483.9365451964838,0.6138233114136129,alaska,1503.4336157659748,0.3861766885863871,3,1,1487.7983120823478,1499.5718488801108
1998-10-17,rensselaer,1500,0.6400649998028851,boston-university,1500,0.35993500019711494,4,3,1503.599350001971,1496.400649998029
1998-10-17,michigan-state,1498.470611786081,0.6380342582660623,massachusetts,1500,0.3619657417339377,3,1,1502.0902692034203,1496.3803425826607
1998-10-17,canisius,1503.599350001971,0.649555360563925,bentley,1496.400649998029,0.350444639436075,5,4,1507.1037963963317,1492.8962036036683
1998-10-17,bowling-green,1501.1286380488928,0.6329095661294806,northeastern,1506.5012009886486,0.3670904338705195,5,3,1504.799542387598,1502.8302966499434
1998-10-17,wisconsin,1487.1533204662576,0.6274251184142037,michigan-tech,1496.6139887806357,0.3725748815857964,3,2,1490.8790692821156,1492.8882399647778
1998-10-17,minnesota,1495.835283694735,0.6327014781305182,minnesota-duluth,1501.3634163092072,0.3672985218694817,3,1,1499.5082689134297,1497.6904310905124
1998-10-17,northern-michigan,1513.2032186198617,0.6714999724180702,miami,1488.9989830976747,0.3285000275819297,5,2,1516.488218895681,1485.7139828218553
1998-10-17,lake-superior,1486.492775970553,0.5950802786684304,notre-dame,1519.610124602134,0.4049197213315697,3,4,1480.5419731838688,1525.5609273888183
1998-10-17,ferris-state,1500.0920177697456,0.6448945844878838,ohio-state,1496.4394439992832,0.3551054155121162,4,2,1503.6430719248667,1492.888389844162
1998-10-22,massachusetts,1496.3803425826607,0.6352507913787441,umass-lowell,1500,0.364749208621256,3,4,1490.0278346688733,1506.3525079137873
1998-10-23,new-hampshire,1506.400649998029,0.673597349062341,lake-superior,1480.5419731838688,0.32640265093765897,5,2,1509.6646765074056,1477.2779466744921
1998-10-23,providence,1500,0.6587847182273985,miami,1485.7139828218553,0.3412152817726016,3,5,1493.412152817726,1492.3018300041292
1998-10-23,northeastern,1502.8302966499434,0.6438098659089543,colgate,1500,0.3561901340910457,2,0,1506.392197990854,1496.4380986590895
1998-10-23,niagara,1502.9883731131258,0.6440185097468768,union,1500,0.3559814902531232,3,5,1496.5481880156572,1506.4401850974687
1998-10-23,merrimack,1500,0.6400649998028851,st-lawrence,1500.0,0.35993500019711494,1,4,1493.599350001971,1506.400649998029
