ELO Score,Team
1601.15427050601,maine
1586.5483172940098,michigan-state
1584.8126078569355,new-hampshire
1578.6936234313566,north-dakota
1569.20595351708,quinnipiac-college
1568.1351167958996,boston-college
1557.5315062630993,clarkson
1557.4077452909337,denver
1554.8650397986462,holy-cross
1550.7323918062805,colorado-college
1549.4938699728816,michigan
1543.2488541519265,st-lawrence
1540.179023339745,connecticut
1538.5413120887824,rensselaer
1536.5262384238551,northern-michigan
1534.9393040441696,colgate
1525.7697852305673,princeton
1522.545308879214,ohio-state
1522.4066806027824,niagara
1518.4956771594536,notre-dame
1511.346436528511,rit
1509.469727707591,canisius
1507.2547537119126,providence
1506.9271713862147,mankato-state
1503.6108929316372,hobart
1503.55825162594,mercyhurst
1502.0993593162777,harvard
1501.2753607913928,geneseo
1500,robert-morris
1498.3563301571905,alabama-huntsville
1498.111943435771,yale
1497.3393153793586,concordia-mn
1496.262980149659,cortland
1496.2386144672128,assumption
1496.2332700179695,minn-crookston
1496.2244217915215,st-michaels
1496.142726057886,nichols
1494.359911160306,ferris-state
1494.192142009347,bemidji-state
1493.3989091648154,scranton
1493.315984055445,st-marys
1493.0249441206195,bentley
1492.954271832897,wisconsin-stout
1492.946458498143,bethel
1492.8587887998194,umass-lowell
1492.4816655533537,augsburg
1492.4677258178601,brockport
1491.4524403433543,bowling-green
1488.7610594563703,st-cloud-state
1487.3461669890266,army
1484.0847796935693,boston-university
1484.0689743994853,cornell
1483.3236417764467,vermont
1477.67041653604,brown
1477.4467656588256,air-force
1476.2629648768982,massachusetts
1474.2773115776286,wisconsin
1473.8864991505798,alaska-anchorage
1470.8188701457889,minnesota
1469.5683475586138,northeastern
1468.9681927644817,american-international
1468.400380367315,dartmouth
1467.8539172260719,miami
1463.9395335308323,lake-superior
1462.727030461956,alaska
1460.4117865843682,sacred-heart
1457.5923427477626,iona
1453.427261195161,merrimack
1449.8702782419475,nebraska-omaha
1444.8266711101405,western-michigan
1428.410435536091,minnesota-duluth
1424.6573366929802,michigan-tech
1413.0683117524552,fairfield
1403.1933007035288,union
